Year,temp_mean,temp_std,co2_mean,co2_std
1000,-0.353667946,0.096038534,278.66,0.904742316
1001,-0.376151248,0.092810037,278.68,0.904742316
1002,-0.395981958,0.096509823,278.69,0.904742316
1003,-0.40627025,0.10159916,278.71,0.904742316
1004,-0.402455086,0.101149868,278.72,0.904742316
1005,-0.389755278,0.096487412,278.73,0.904742316
1006,-0.378790403,0.094408825,278.74,0.904742316
1007,-0.377514012,0.098412816,278.75,0.904742316
1008,-0.387891171,0.107071634,278.76,0.904742316
1009,-0.404832246,0.11706771,278.77,0.904742316
1010,-0.420225144,0.124798106,278.78,0.904742316
1011,-0.429529367,0.12939048,278.79,0.904742316
1012,-0.429148177,0.131737867,278.8,0.904742316
1013,-0.415241075,0.135980754,278.81,0.904742316
1014,-0.389343954,0.144958784,278.82,0.904742316
1015,-0.357271209,0.155861552,278.83,0.904742316
1016,-0.323146449,0.161277047,278.84,0.904742316
1017,-0.292969098,0.155421639,278.85,0.904742316
1018,-0.271678695,0.138857696,278.86,0.904742316
1019,-0.26191881,0.121797374,278.88,0.904742316
1020,-0.263540883,0.110803601,278.89,0.904742316
1021,-0.275938772,0.105702029,278.91,0.904742316
1022,-0.293201344,0.106402443,278.93,0.904742316
1023,-0.309035125,0.110516866,278.95,0.904742316
1024,-0.318230902,0.114413469,278.97,0.904742316
1025,-0.316879463,0.115353619,279,0.904742316
1026,-0.301753935,0.113074653,279.03,0.904742316
1027,-0.280453167,0.109982015,279.06,0.904742316
1028,-0.265537044,0.108092034,279.09,0.904742316
1029,-0.261738388,0.108577192,279.13,0.904742316
1030,-0.266170633,0.110029376,279.16,0.904742316
1031,-0.281542418,0.111897484,279.2,0.904742316
1032,-0.30231977,0.112080894,279.25,0.904742316
1033,-0.318770441,0.111380055,279.29,0.904742316
1034,-0.334519962,0.114574042,279.34,0.904742316
1035,-0.348677159,0.121020933,279.39,0.904742316
1036,-0.355446065,0.128242677,279.44,0.904742316
1037,-0.355125144,0.133203419,279.5,0.904742316
1038,-0.352765451,0.135226435,279.55,0.904742316
1039,-0.352081958,0.135102486,279.61,0.904742316
1040,-0.351853935,0.133787892,279.67,0.904742316
1041,-0.348782534,0.131191051,279.73,0.904742316
1042,-0.340751248,0.127596522,279.79,0.904742316
1043,-0.330798081,0.127511034,279.86,0.904742316
1044,-0.325690595,0.133386643,279.92,0.904742316
1045,-0.325576008,0.141773541,279.98,0.904742316
1046,-0.32692975,0.149215304,280.05,0.904742316
1047,-0.325134933,0.155940302,280.11,0.904742316
1048,-0.321466411,0.15996061,280.17,0.904742316
1049,-0.320664875,0.163189725,280.23,0.904742316
1050,-0.321530326,0.168447743,280.29,0.904742316
1051,-0.324567946,0.175369292,280.35,0.904048614
1052,-0.330383685,0.180229382,280.41,0.901367528
1053,-0.340370441,0.184256758,280.47,0.898583421
1054,-0.350981958,0.186687678,280.53,0.895932246
1055,-0.356848369,0.186268296,280.58,0.893440381
1056,-0.357284645,0.186398466,280.63,0.892370742
1057,-0.357977927,0.190346807,280.68,0.890478737
1058,-0.361580422,0.198036798,280.73,0.887820426
1059,-0.362764107,0.204617244,280.77,0.883915433
1060,-0.354285605,0.205237273,280.82,0.882419441
1061,-0.338238388,0.195876703,280.85,0.87980911
1062,-0.327164491,0.181012353,280.89,0.877717055
1063,-0.32538906,0.165515132,280.92,0.874782471
1064,-0.330339155,0.152140023,280.95,0.871242458
1065,-0.343501919,0.144354756,280.98,0.870430555
1066,-0.365416699,0.145157566,281.01,0.866439322
1067,-0.394211708,0.156714615,281.04,0.865154191
1068,-0.420797697,0.175376604,281.06,0.861823422
1069,-0.434953359,0.192804809,281.08,0.85848805
1070,-0.433359501,0.202964733,281.1,0.854280412
1071,-0.416743378,0.204815791,281.12,0.851095551
1072,-0.389566795,0.198264686,281.14,0.849651953
1073,-0.362128599,0.185284196,281.16,0.846235361
1074,-0.347415355,0.16599171,281.18,0.84196328
1075,-0.349406142,0.140315712,281.2,0.840532325
1076,-0.359842035,0.118698554,281.21,0.834887685
1077,-0.366538388,0.10911911,281.23,0.832339971
1078,-0.362198656,0.107107869,281.25,0.828588222
1079,-0.345691171,0.106876847,281.27,0.82609615
1080,-0.322702687,0.108055494,281.28,0.821660893
1081,-0.300255086,0.10666881,281.3,0.818440604
1082,-0.282909597,0.101521558,281.32,0.814332781
1083,-0.269218426,0.098493363,281.34,0.81195038
1084,-0.25723858,0.103029027,281.36,0.808737459
1085,-0.248860269,0.113838811,281.38,0.805231407
1086,-0.241678695,0.126600401,281.4,0.800693017
1087,-0.234208445,0.134635507,281.42,0.798144629
1088,-0.226831478,0.136907921,281.45,0.795600457
1089,-0.218774664,0.135041044,281.47,0.79228381
1090,-0.214426871,0.132464049,281.5,0.788362872
1091,-0.217940499,0.128347119,281.52,0.785721743
1092,-0.231827255,0.121112644,281.55,0.781463412
1093,-0.252348177,0.111309175,281.57,0.780123894
1094,-0.278312284,0.103014838,281.6,0.776054652
1095,-0.31017524,0.102668722,281.63,0.773684052
1096,-0.345861036,0.115919285,281.66,0.771644671
1097,-0.377791363,0.135882244,281.69,0.77006437
1098,-0.403418618,0.153102913,281.72,0.766635563
1099,-0.417476392,0.163581206,281.76,0.76405517
1100,-0.416378695,0.172131671,281.79,0.762532946
1101,-0.401403647,0.182870515,281.82,0.758988419
1102,-0.376073704,0.198323108,281.86,0.756910444
1103,-0.349552783,0.216581636,281.89,0.756363051
1104,-0.328895393,0.231834524,281.92,0.754691531
1105,-0.319921113,0.240084887,281.96,0.754665718
1106,-0.327934549,0.235848507,281.99,0.752183546
1107,-0.35608119,0.220446885,282.02,0.751374498
1108,-0.395454511,0.204748717,282.05,0.750076475
1109,-0.432212092,0.195386465,282.08,0.751035649
1110,-0.455372745,0.191370748,282.11,0.74927093
1111,-0.462536084,0.190323614,282.14,0.747476129
1112,-0.459639539,0.192783322,282.17,0.748494738
1113,-0.455268138,0.199780244,282.19,0.747266447
1114,-0.455431286,0.210226026,282.22,0.747092054
1115,-0.458574088,0.21993369,282.24,0.748712748
1116,-0.464011324,0.224413179,282.27,0.748326994
1117,-0.472104607,0.222234097,282.29,0.7490028
1118,-0.480960077,0.213774263,282.31,0.748812769
1119,-0.490382534,0.202688331,282.33,0.749243919
1120,-0.504875816,0.194602761,282.35,0.749739926
1121,-0.52366737,0.19221278,282.37,0.750248444
1122,-0.54299904,0.190753808,282.39,0.751135936
1123,-0.560552015,0.186804956,282.41,0.752135344
1124,-0.576807294,0.182558954,282.43,0.751608952
1125,-0.585609405,0.176604503,282.45,0.754090289
1126,-0.581312284,0.166987753,282.47,0.753649706
1127,-0.566530134,0.155865385,282.48,0.75528384
1128,-0.545735317,0.147019519,282.5,0.756586805
1129,-0.521397121,0.140859222,282.52,0.757311404
1130,-0.496579655,0.13687017,282.53,0.758813154
1131,-0.479073321,0.138836268,282.55,0.759477492
1132,-0.473272745,0.149235821,282.56,0.761101531
1133,-0.476248944,0.165234647,282.58,0.76270764
1134,-0.483368906,0.182206036,282.59,0.762863709
1135,-0.492607869,0.196103354,282.6,0.764603284
1136,-0.50434261,0.204885834,282.61,0.765387744
1137,-0.514244722,0.206475779,282.62,0.767549793
1138,-0.522119578,0.202906918,282.62,0.767809049
1139,-0.526248752,0.198177097,282.62,0.768210942
1140,-0.521096161,0.193450191,282.63,0.770804381
1141,-0.503566987,0.184469112,282.63,0.771880399
1142,-0.482590595,0.175203125,282.63,0.77296416
1143,-0.470223608,0.171990471,282.62,0.771871426
1144,-0.47088906,0.173747589,282.62,0.773493928
1145,-0.482986564,0.175259181,282.62,0.775298993
1146,-0.500368906,0.171988359,282.61,0.775626684
1147,-0.5206119,0.166006363,282.6,0.776442659
1148,-0.543642035,0.16115153,282.59,0.776939272
1149,-0.56859405,0.159790075,282.58,0.778500751
1150,-0.591744914,0.162184205,282.57,0.778618629
1151,-0.606752207,0.166139105,282.55,0.780323498
1152,-0.604508637,0.168706157,282.54,0.779979465
1153,-0.588934741,0.170301812,282.52,0.781345964
1154,-0.567629942,0.170179881,282.51,0.782247428
1155,-0.543857965,0.167507407,282.49,0.780930736
1156,-0.523005182,0.16423651,282.47,0.783001772
1157,-0.504532821,0.161872825,282.45,0.783884903
1158,-0.486157774,0.160131391,282.42,0.782796768
1159,-0.469407678,0.157429802,282.4,0.78330303
1160,-0.456851823,0.154020351,282.38,0.783736748
1161,-0.445453551,0.149832078,282.35,0.78374669
1162,-0.43306929,0.145132763,282.32,0.783713687
1163,-0.423386372,0.141675856,282.3,0.783020569
1164,-0.418235317,0.139828157,282.27,0.782122764
1165,-0.416324568,0.140284774,282.24,0.781869776
1166,-0.416274664,0.141542162,282.21,0.780729069
1167,-0.416634165,0.142767553,282.19,0.779410505
1168,-0.421809981,0.143778366,282.16,0.778347678
1169,-0.436660269,0.145670819,282.14,0.777402156
1170,-0.456591555,0.148849281,282.12,0.775387628
1171,-0.470645873,0.153494931,282.1,0.772267842
1172,-0.473405566,0.158724978,282.08,0.770802837
1173,-0.466202495,0.163704863,282.07,0.767089287
1174,-0.455853935,0.167278511,282.06,0.763634083
1175,-0.44948119,0.170120671,282.05,0.759358495
1176,-0.45110595,0.174505321,282.04,0.755699985
1177,-0.456780422,0.182239051,282.04,0.750908829
1178,-0.463157198,0.191351456,282.03,0.746315771
1179,-0.468029175,0.198909093,282.03,0.741001428
1180,-0.46891785,0.202100612,282.03,0.736327761
1181,-0.465283685,0.201593956,282.03,0.730802204
1182,-0.46111881,0.200937828,282.03,0.726161855
1183,-0.4576238,0.20008763,282.02,0.720143234
1184,-0.459258349,0.199401542,282.02,0.71595787
1185,-0.466274472,0.197412425,282.02,0.710414945
1186,-0.474576967,0.192516602,282.01,0.705780861
1187,-0.479,0.184876446,282,0.700749908
1188,-0.481410749,0.177769321,282,0.693807021
1189,-0.48433858,0.174404447,281.99,0.689434959
1190,-0.486241843,0.176022591,281.98,0.684439291
1191,-0.489854127,0.180810753,281.96,0.679989814
1192,-0.498201344,0.185527037,281.95,0.673534966
1193,-0.512706142,0.19024665,281.94,0.668368985
1194,-0.531115739,0.193284314,281.92,0.664067878
1195,-0.547329367,0.194888747,281.91,0.658572015
1196,-0.559542418,0.194868087,281.89,0.654170934
1197,-0.566265451,0.19215081,281.87,0.649029912
1198,-0.569356238,0.19003722,281.86,0.643940117
1199,-0.571432246,0.191003405,281.85,0.637122862
1200,-0.575029367,0.196478266,281.83,0.633053652
1201,-0.576478503,0.203783631,281.82,0.626081748
1202,-0.574526488,0.211021789,281.81,0.62047531
1203,-0.575902303,0.219774572,281.8,0.613456603
1204,-0.586470441,0.229753928,281.79,0.608264866
1205,-0.60281977,0.238719166,281.78,0.600579086
1206,-0.614433781,0.244105356,281.77,0.594852377
1207,-0.612019002,0.243279505,281.76,0.58953298
1208,-0.596931478,0.236821951,281.75,0.582003741
1209,-0.578240691,0.230262566,281.74,0.575703597
1210,-0.559530326,0.224529765,281.73,0.568035271
1211,-0.543872361,0.216534785,281.72,0.561858581
1212,-0.539171401,0.208117478,281.71,0.555751704
1213,-0.546160653,0.200784864,281.7,0.549311257
1214,-0.558879271,0.194488294,281.69,0.542439775
1215,-0.573513244,0.192491711,281.68,0.535258161
1216,-0.58563071,0.195817201,281.67,0.528274165
1217,-0.588184069,0.199868067,281.66,0.521771043
1218,-0.577124568,0.198091209,281.65,0.515240666
1219,-0.554070633,0.189073484,281.64,0.509111143
1220,-0.52200096,0.174996603,281.64,0.501950309
1221,-0.487558349,0.158651989,281.63,0.494964252
1222,-0.459354319,0.143226891,281.63,0.486588086
1223,-0.440483301,0.132284608,281.62,0.480028859
1224,-0.432166411,0.12823565,281.62,0.473376012
1225,-0.434214779,0.133239048,281.63,0.464265001
1226,-0.444278887,0.146975173,281.63,0.457510675
1227,-0.458162956,0.164903379,281.63,0.449453733
1228,-0.474892131,0.18349749,281.64,0.441403949
1229,-0.492289251,0.197670591,281.65,0.432738186
1230,-0.510046257,0.202592735,281.65,0.424530298
1231,-0.526011516,0.198085096,281.66,0.416156398
1232,-0.54255547,0.195885117,281.67,0.409013437
1233,-0.55959309,0.206596801,281.68,0.400127956
1234,-0.573785029,0.229073367,281.69,0.393055519
1235,-0.583035125,0.253222534,281.7,0.385073221
1236,-0.585103071,0.26861,281.71,0.376674041
1237,-0.578274472,0.271085454,281.71,0.370901849
1238,-0.563102495,0.261848397,281.72,0.363700319
1239,-0.542544914,0.245082065,281.73,0.356629545
1240,-0.523027639,0.228136214,281.74,0.349815041
1241,-0.511922265,0.216991353,281.74,0.344237975
1242,-0.511814395,0.211323507,281.75,0.338406311
1243,-0.51798215,0.207895089,281.75,0.332407263
1244,-0.522820537,0.204714252,281.75,0.327347003
1245,-0.522781958,0.20237354,281.76,0.321421356
1246,-0.518033205,0.201698664,281.76,0.316850368
1247,-0.509239923,0.201818294,281.75,0.313048134
1248,-0.499387908,0.201073428,281.75,0.309750982
1249,-0.492057965,0.199376483,281.75,0.305207686
1250,-0.489643186,0.195818978,281.74,0.301024585
1251,-0.491162956,0.191497633,281.73,0.299124263
1252,-0.493484645,0.189043117,281.73,0.295430202
1253,-0.495860653,0.189710339,281.72,0.292879421
1254,-0.501078695,0.190428398,281.71,0.290974255
1255,-0.509008445,0.185499412,281.69,0.289130657
1256,-0.523807869,0.175930175,281.68,0.287066066
1257,-0.547245873,0.170050855,281.66,0.286300481
1258,-0.576131286,0.174272972,281.65,0.285889286
1259,-0.597593282,0.185032587,281.63,0.284768076
1260,-0.606872745,0.196260937,281.61,0.282648651
1261,-0.610832246,0.207582993,281.59,0.282798706
1262,-0.613985797,0.219429025,281.57,0.282959392
1263,-0.613062764,0.230547653,281.55,0.282004651
1264,-0.599653359,0.237514758,281.52,0.283474118
1265,-0.576090211,0.240698061,281.5,0.282530694
1266,-0.549801344,0.240921066,281.47,0.283625263
1267,-0.526953167,0.238479672,281.45,0.284062977
1268,-0.511356238,0.235190679,281.42,0.285984288
1269,-0.505964107,0.232907397,281.4,0.286417263
1270,-0.508359117,0.230716823,281.37,0.287682184
1271,-0.510589827,0.226786159,281.35,0.289481175
1272,-0.510827255,0.219695384,281.32,0.290408356
1273,-0.511280038,0.210431647,281.29,0.292231303
1274,-0.514507869,0.198640492,281.27,0.293152739
1275,-0.523248177,0.186318511,281.24,0.295949569
1276,-0.539345106,0.177648979,281.22,0.295457676
1277,-0.558448177,0.173191163,281.2,0.298285505
1278,-0.573940499,0.173477822,281.17,0.300373505
1279,-0.582329559,0.17831022,281.15,0.301182734
1280,-0.586993474,0.183599535,281.13,0.301356601
1281,-0.5910119,0.185556778,281.11,0.304050933
1282,-0.597878119,0.185511159,281.09,0.305004435
1283,-0.608182534,0.184620133,281.07,0.305543657
1284,-0.621027831,0.184037298,281.05,0.306337462
1285,-0.632578311,0.182731463,281.04,0.306790395
1286,-0.642045298,0.178114982,281.02,0.307104901
1287,-0.649664107,0.173458243,281.01,0.307038641
1288,-0.657094818,0.17117738,280.99,0.307651346
1289,-0.666304415,0.171057246,280.98,0.308090053
1290,-0.677550864,0.17371435,280.97,0.306916306
1291,-0.691055662,0.180892229,280.96,0.306652079
1292,-0.706105374,0.193445008,280.95,0.307228922
1293,-0.720144146,0.209272853,280.94,0.306899027
1294,-0.726638772,0.223890914,280.93,0.306852828
1295,-0.727185605,0.234272371,280.92,0.305905794
1296,-0.725784261,0.23809845,280.91,0.307720287
1297,-0.72036238,0.235730959,280.9,0.308039816
1298,-0.706184645,0.229078088,280.9,0.30592136
1299,-0.682085605,0.222207997,280.89,0.30722082
1300,-0.650721497,0.214159594,280.88,0.307445839
1301,-0.615166987,0.204283368,280.87,0.308585658
1302,-0.581363148,0.197813731,280.86,0.309450008
1303,-0.551239731,0.195574017,280.85,0.30989455
1304,-0.52623263,0.199629991,280.84,0.31178303
1305,-0.507362956,0.206815201,280.84,0.311046272
1306,-0.496018234,0.209331952,280.83,0.312262031
1307,-0.493456238,0.204140978,280.83,0.311294254
1308,-0.497366795,0.192603393,280.82,0.312436314
1309,-0.503193858,0.178215592,280.82,0.311822252
1310,-0.508661996,0.162659556,280.82,0.310525668
1311,-0.514070058,0.148873993,280.82,0.310030371
1312,-0.517885605,0.138974065,280.83,0.308292673
1313,-0.516642802,0.132715032,280.84,0.306126477
1314,-0.513582917,0.131274119,280.85,0.303387798
1315,-0.513372169,0.134834452,280.87,0.299828234
1316,-0.520119002,0.139546475,280.89,0.295879348
1317,-0.5294119,0.141008551,280.91,0.292704955
1318,-0.535560077,0.138706739,280.93,0.289143009
1319,-0.53571286,0.132229956,280.95,0.287096225
1320,-0.527864107,0.124207046,280.98,0.281660199
1321,-0.511964299,0.116912454,281,0.276792466
1322,-0.488265835,0.111725493,281.03,0.272692602
1323,-0.458902303,0.108050636,281.05,0.269879322
1324,-0.429041459,0.10550764,281.08,0.265287559
1325,-0.406811708,0.105057082,281.1,0.261232924
1326,-0.399835317,0.109068466,281.13,0.256471647
1327,-0.409987716,0.118796171,281.15,0.253662352
1328,-0.433049328,0.130816517,281.17,0.252056477
1329,-0.460722841,0.140382918,281.18,0.247377588
1330,-0.488087332,0.146137792,281.2,0.241343641
1331,-0.513422073,0.147966857,281.21,0.239080127
1332,-0.540979079,0.149857369,281.22,0.235950688
1333,-0.570727639,0.154458708,281.22,0.231288504
1334,-0.601426871,0.163464684,281.22,0.227925426
1335,-0.630129559,0.17534134,281.22,0.223615026
1336,-0.650625336,0.187146695,281.22,0.219464618
1337,-0.65986929,0.194857222,281.21,0.215902916
1338,-0.660306142,0.19666457,281.2,0.211940631
1339,-0.655323417,0.191557104,281.19,0.209313969
1340,-0.650432246,0.18146159,281.17,0.204294266
1341,-0.648113244,0.171691143,281.15,0.202013672
1342,-0.648988292,0.167832574,281.13,0.198636587
1343,-0.653905374,0.168624987,281.11,0.196279243
1344,-0.66892476,0.173488409,281.08,0.194220052
1345,-0.693138772,0.18455428,281.06,0.193305715
1346,-0.718014587,0.201143489,281.03,0.19203907
1347,-0.736590787,0.217796753,281,0.191790944
1348,-0.745933589,0.228629289,280.97,0.190731106
1349,-0.745040307,0.233203862,280.95,0.192371844
1350,-0.732224952,0.235052528,280.92,0.192452839
1351,-0.705243954,0.237166356,280.89,0.193603334
1352,-0.668969482,0.241142695,280.86,0.195197757
1353,-0.628565835,0.245301557,280.83,0.196812258
1354,-0.589588292,0.245040522,280.81,0.198731911
1355,-0.559672553,0.239205308,280.78,0.201698416
1356,-0.545202303,0.230397314,280.75,0.203603894
1357,-0.545258541,0.221965766,280.73,0.205708574
1358,-0.552666027,0.216137377,280.71,0.206764395
1359,-0.55924261,0.214917922,280.68,0.210405196
1360,-0.560160845,0.219237843,280.66,0.212865931
1361,-0.555489443,0.225330732,280.64,0.215753988
1362,-0.547728983,0.229812105,280.62,0.218275413
1363,-0.537282534,0.232275794,280.6,0.220226664
1364,-0.519872553,0.234330161,280.58,0.222446063
1365,-0.497998464,0.232197441,280.56,0.224613665
1366,-0.478285988,0.221826317,280.54,0.226184233
1367,-0.465559117,0.205939009,280.53,0.228153229
1368,-0.461567754,0.190527563,280.51,0.230703798
1369,-0.466647025,0.17805544,280.49,0.23218005
1370,-0.477255854,0.170264436,280.48,0.232766163
1371,-0.486344146,0.165460194,280.46,0.236419907
1372,-0.490294434,0.161224292,280.45,0.237085478
1373,-0.490996353,0.155294156,280.43,0.23845689
1374,-0.49343071,0.149450386,280.42,0.241196961
1375,-0.499585988,0.145506437,280.41,0.242308522
1376,-0.507360653,0.144675547,280.39,0.244070815
1377,-0.515115163,0.148314984,280.38,0.243515469
1378,-0.519810749,0.153158522,280.37,0.246137698
1379,-0.518008829,0.156833127,280.36,0.246722235
1380,-0.508014779,0.157528979,280.35,0.247339086
1381,-0.490045873,0.155501553,280.34,0.249602715
1382,-0.467484645,0.152675467,280.33,0.250122481
1383,-0.44463167,0.150780408,280.32,0.249389297
1384,-0.426003263,0.149748308,280.31,0.251123881
1385,-0.416119578,0.150014071,280.3,0.251730375
1386,-0.41496238,0.15024538,280.29,0.253380606
1387,-0.419787332,0.148599243,280.29,0.252358571
1388,-0.428269482,0.148297656,280.28,0.252446042
1389,-0.440881574,0.153343038,280.28,0.252667586
1390,-0.455789827,0.162365303,280.27,0.252177101
1391,-0.470598081,0.171554206,280.27,0.251800873
1392,-0.480424184,0.176549535,280.27,0.251666738
1393,-0.481816699,0.174792812,280.26,0.25146325
1394,-0.476494626,0.168902623,280.26,0.250231062
1395,-0.472392706,0.164707077,280.26,0.249864465
1396,-0.475362956,0.166181096,280.25,0.249283389
1397,-0.485864299,0.170796829,280.25,0.249036238
1398,-0.501311708,0.174602959,280.25,0.24689588
1399,-0.517579463,0.174798501,280.25,0.244292866
1400,-0.528079079,0.172119117,280.25,0.243557686
1401,-0.525158925,0.168864055,280.25,0.242933016
1402,-0.505687716,0.164532789,280.25,0.239926486
1403,-0.47268215,0.158446453,280.25,0.239989628
1404,-0.435081958,0.151899048,280.25,0.236811888
1405,-0.400218618,0.145273893,280.25,0.235204618
1406,-0.372469866,0.13913829,280.25,0.232136697
1407,-0.354776583,0.134587623,280.25,0.230867459
1408,-0.344561996,0.131890071,280.25,0.22896199
1409,-0.341098081,0.131706846,280.25,0.227322549
1410,-0.347117658,0.135467027,280.26,0.224088341
1411,-0.361663724,0.14279636,280.26,0.22245774
1412,-0.382310365,0.152646955,280.27,0.219825295
1413,-0.403511132,0.160959638,280.27,0.218396359
1414,-0.420691555,0.165434819,280.28,0.21551559
1415,-0.427221497,0.166996119,280.29,0.212376779
1416,-0.424479463,0.168073172,280.29,0.210656056
1417,-0.419828215,0.16851353,280.3,0.208976583
1418,-0.420899616,0.167899971,280.31,0.208376532
1419,-0.430124184,0.166670897,280.32,0.208156202
1420,-0.443421881,0.166476776,280.33,0.206299597
1421,-0.454548944,0.166939728,280.33,0.206806265
1422,-0.457834357,0.166167901,280.34,0.206227714
1423,-0.449918234,0.162122752,280.35,0.206846556
1424,-0.435412092,0.156465427,280.36,0.208285103
1425,-0.42481881,0.153110469,280.36,0.209253983
1426,-0.42085048,0.15069879,280.37,0.211961056
1427,-0.418780998,0.145241818,280.37,0.212835424
1428,-0.415435317,0.135568998,280.38,0.21591244
1429,-0.408478119,0.122921555,280.38,0.219765715
1430,-0.398609213,0.112434578,280.38,0.222251369
1431,-0.388892131,0.108947396,280.38,0.227549053
1432,-0.383824376,0.112590917,280.38,0.231572827
1433,-0.384270633,0.11975908,280.38,0.237076348
1434,-0.391216315,0.126500611,280.37,0.241865495
1435,-0.406094434,0.130889196,280.36,0.247096122
1436,-0.423606334,0.136549793,280.35,0.254212986
1437,-0.440961036,0.143531337,280.33,0.259039602
1438,-0.456545106,0.149575126,280.31,0.266416414
1439,-0.466051823,0.154252031,280.29,0.275069452
1440,-0.469670441,0.156934109,280.27,0.281362255
1441,-0.469423417,0.158801338,280.24,0.289682615
1442,-0.468414012,0.162036937,280.21,0.299036331
1443,-0.471854319,0.163660114,280.18,0.308351643
1444,-0.484359501,0.16014485,280.15,0.315906241
1445,-0.504714971,0.153955989,280.12,0.325531533
1446,-0.53100595,0.149535436,280.09,0.334089186
1447,-0.558022265,0.152429772,280.06,0.345992831
1448,-0.582231094,0.162261046,280.02,0.356703583
1449,-0.601185029,0.173680766,279.99,0.367326836
1450,-0.617630518,0.181586131,279.96,0.378901637
1451,-0.639039155,0.183764285,279.93,0.388483565
1452,-0.666741843,0.183489079,279.9,0.399159561
1453,-0.697327639,0.185753799,279.87,0.411058448
1454,-0.723759693,0.193908157,279.84,0.421214745
1455,-0.743852783,0.205657587,279.82,0.43227176
1456,-0.756022649,0.21705015,279.79,0.441993712
1457,-0.760222457,0.224658611,279.76,0.453461912
1458,-0.757491171,0.228976699,279.74,0.464447957
1459,-0.749849136,0.230087421,279.71,0.47569407
1460,-0.7372,0.228924835,279.69,0.485980956
1461,-0.721923417,0.227152804,279.67,0.495510581
1462,-0.707272745,0.225877037,279.65,0.506362335
1463,-0.694303647,0.225010417,279.64,0.514256703
1464,-0.684639923,0.224953441,279.62,0.523531341
1465,-0.678818234,0.225047094,279.61,0.53411516
1466,-0.673721881,0.225104648,279.6,0.541962324
1467,-0.663339347,0.2258695,279.6,0.548446251
1468,-0.648110365,0.225388546,279.59,0.558057857
1469,-0.63093858,0.220523203,279.59,0.563863451
1470,-0.618269098,0.21294969,279.59,0.571232434
1471,-0.613475432,0.204390124,279.6,0.576448298
1472,-0.61356929,0.195446436,279.61,0.581684559
1473,-0.612514971,0.186757483,279.62,0.587429097
1474,-0.608833781,0.178628042,279.63,0.591800393
1475,-0.603739155,0.172364487,279.65,0.597086179
1476,-0.597485988,0.169020161,279.67,0.600586294
1477,-0.593127063,0.169303103,279.69,0.603179168
1478,-0.591687716,0.174634832,279.72,0.606470878
1479,-0.595007294,0.1796447,279.75,0.608000235
1480,-0.601885605,0.177804397,279.78,0.610512523
1481,-0.608403071,0.169749342,279.82,0.612346279
1482,-0.607108637,0.160813136,279.86,0.613827147
1483,-0.597010173,0.155086282,279.9,0.616938573
1484,-0.578416123,0.154210468,279.94,0.617912454
1485,-0.555247025,0.155664333,279.99,0.619436974
1486,-0.534459117,0.157394834,280.04,0.621359353
1487,-0.517991939,0.157306304,280.08,0.625431626
1488,-0.504902687,0.154541046,280.14,0.62763712
1489,-0.497141267,0.150053929,280.19,0.631085096
1490,-0.499233205,0.144187501,280.24,0.6355529
1491,-0.511035701,0.140373984,280.29,0.640421263
1492,-0.527292131,0.142648355,280.34,0.642495136
1493,-0.544446449,0.150098282,280.39,0.648574861
1494,-0.56012476,0.159662139,280.45,0.653522755
1495,-0.570914012,0.169967432,280.5,0.660439477
1496,-0.576145106,0.178356979,280.55,0.667758413
1497,-0.576965643,0.181102048,280.59,0.674820483
